Article Title,Reprint Addresses,Funding Orgs,"Times Cited, WoS Core","Times Cited, All Databases",Publication Date,Publication Year,DOI,
Revisiting the e(+)e(-) -> K+ K- J/psi line shape,"Zhang, JL (corresponding author), Xinyang Normal Univ, Coll Phys & Elect Engn, Xinyang 464000, Peoples R China.",National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11847028]; Foundation of Henan Educational Committee [19A140015]; Nanhu Scholars Program for Young Scholars of Xinyang Normal University,1,1,DEC 28,2019,10.1142/S0217732319503371,
Search for the decay D-s(+) -> p(p)over-bare(+) nu(e),"Zhou, Q (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Zhou, Q (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11505034, 11575077, 11335008, 11425524, 11625523, 11635010, 11935018, 11235011, 11875054]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); NSFCNational Natural Science Foundation of China (NSFC) [U1332201, U1532257, U1532258, U1632107]; CASChinese Academy of Sciences [U1332201, U1532257, U1532258, U1632107]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC 1044, FOR 2359]; Instituto Nazionale di Fisica Nucleare, Italy; Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology Fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0010504, DE-SC-0012069]; University of Groningen (RuG), Darmstadt; Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]",8,8,DEC 24,2019,10.1103/PhysRevD.100.112008,
Study of e(+)e(-) -> pi(+)pi(-)pi(0)eta(c) and evidence for Z(c) (3900)(+/-) decaying into rho(+/-)eta(c),"Zhou, Q (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Zhou, Q (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11335008, 11425524, 11625523, 11635010, 11735014, 11575198]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",7,8,DEC 24,2019,10.1103/PhysRevD.100.111102,
Development of the full-chain cryogenic readout electronics for the point-contact HPGe detectors,"Deng, Z (corresponding author), Minist Educ, Key Lab Particle & Radiat Imaging, Beijing 100084, Peoples R China.; Deng, Z (corresponding author), Tsinghua Univ, Dept Engn Phys, Beijing 100084, Peoples R China.","national key research and development program, China [2017YFA0402202]",2,2,DEC 11,2019,10.1016/j.nima.2019.162739,
A quantitative approach to select PMTs for large detectors,"Wen, LJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDA10010100]; CAS Center for Excellence in Particle Physics (CCEPP), China",8,8,DEC 11,2019,10.1016/j.nima.2019.162766,
"The mechanical design, fabrication and tests of a 166.6 MHz quarter-wave beta=1 proof-of-principle superconducting cavity for HEPS","Zhang, P (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",High Energy Photon Source-Test Facility (HEPS-TF) project; Pioneer Hundred Talents Program'' of Chinese Academy of Sciences,9,9,DEC 11,2019,10.1016/j.nima.2019.162770,
Probing invisible decay of a dark photon at BESIII and a future Super Tau Charm Factory via monophoton searches,"Zhang, Y (corresponding author), Anhui Univ, Inst Phys Sci & Informat Technol, Hefei 230601, Anhui, Peoples R China.; Zhang, Y (corresponding author), Anhui Univ, Sch Phys & Mat Sci, Hefei 230039, Anhui, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11805001, 11305001, 11575002, 11675033, 11747317, 11875070]; Key Research Foundation of the Education Ministry of Anhui Province of China [KJ2017A032]",4,4,DEC 6,2019,10.1103/PhysRevD.100.115016,
Triangle singularities in J/psi -> eta pi(0)phi and pi(0)pi(0)phi,"Jing, HJ; Sakai, S; Guo, FK; Zou, BS (corresponding author), Chinese Acad Sci, Inst Theoret Phys, CAS Key Lab Theoret Phys, Zhong Guan Cun East St 55, Beijing 100190, Peoples R China.; Jing, HJ; Guo, FK; Zou, BS (corresponding author), Univ Chinese Acad Sci, Sch Phys Sci, Beijing 100049, Peoples R China.; Zou, BS (corresponding author), Cent S Univ, Changsha 410083, Hunan, Peoples R China.","National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11621131001]; Deutsche Forschungsgemeinschaft (DFG)German Research Foundation (DFG) [TRR110]; NSFCNational Natural Science Foundation of China (NSFC) [11847612, 11835015]; Chinese Academy of Sciences (CAS)Chinese Academy of Sciences [QYZDB-SSW-SYS013, XDPB09]; CAS Center for Excellence in Particle Physics (CCEPP); International Postdoctoral Exchange Program; CAS President's International Fellowship Initiative (PIFI) [2019PM0108]",9,9,DEC 5,2019,10.1103/PhysRevD.100.114010,
Modular S-4 and A(4) symmetries and their fixed points: new predictive examples of lepton mixing,"Lu, JN (corresponding author), Univ Sci & Technol China, Interdisciplinary Ctr Theoret Study, 96 JinZhai Rd, Hefei 230026, Anhui, Peoples R China.; Lu, JN (corresponding author), Univ Sci & Technol China, Dept Modern Phys, 96 JinZhai Rd, Hefei 230026, Anhui, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11975224, 11835013]; STFCUK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC) [ST/L000296/1]; European UnionEuropean Commission [674896]; InvisiblesPlus RISE [690575]; STFCUK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC) [ST/P000711/1] Funding Source: UKRI",51,51,DEC 4,2019,10.1007/JHEP12(2019)030,
Observation of the Semileptonic D+ Decay into the (K)over-bar(1)(1270)(0) Axial-Vector Meson,"Zhou, Q (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Zhou, Q (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11835012, 11775230, 11625523, 11635010, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263, U1832107, U1832207]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832107, U1832207]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; INPAC; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center 502 CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Royal Society, UKRoyal Society of London [DH160214]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG), Darmstadt; Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt",14,14,DEC 2,2019,10.1103/PhysRevLett.123.231801,
