Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,DYS,3159,296,1084125,116120
2019,MPH,388,35,125930,12920
2019,PH2,95,7,33250,2800
2018,DYS,2974,199,1021685,68285
2018,MPH,353,25,115780,8120
2018,PH2,90,6,31500,2100
2017,DYS,2684,198,922180,67935
2017,MPH,311,24,101290,7770
2017,PH2,73,5,25550,1750
2016,DYS,2433,198,835485,67935
2016,MPH,283,24,91070,7770
2016,PH2,64,5,22400,1750
2015,DYS,2148,198,710336.62,67935
2015,MPH,227,24,69781,7770
2015,PH2,58,5,19649.91,1750
2014,DYS,2032,198,398720,77760
2014,MPH,228,25,42060,9280
2014,PH2,60,6,12000,2400
2013,DYS,1978,198,388340,38760
2013,MPH,240,26,44760,4780
2013,PH2,61,5,12200,1000
2012,DYS,1942,200,380120,38980
2012,MPH,249,27,46020,4980
2012,PH2,48,5,9600,1000
2011,DYS,2021,198,396220,38760
2011,MPH,257,26,47620,4780
2011,PH2,51,5,10200,1000
2010,DYS,1908,198,373948.975,38820
2010,MPH,249,28,45940,5180
2010,PH2,54,6,10800,1200
2009,DYS,1908,179,373907.305,35020
2009,MPH,253,26,46270,4780
2009,PH2,55,5,11000,1000
2008,DYS,1912,180,372457.981,35220
2008,MPH,253,26,45745.85,4840
2008,PH2,54,6,10800,1200
2007,DYS,1750,170,340202.08,33280
2007,MPH,255,26,45619,4840
2007,PH2,45,6,8840,1200
2006,DYS,1588,158,158724.27,30880
2006,MPH,220,25,20573.8,4580
2006,PH2,63,7,4585.6,980
2005,DYS,1308,160,130175.23,15640
2005,MPH,181,25,16687.61,2290
2005,PH2,0,0,0,0
2004,DYS,1057,157,102597.97,15370
2004,MPH,159,26,14357.68,2420
2004,PH2,0,0,0,0
2003,DYS,876,159,80101.55,15570
2003,MPH,128,25,10467.33,2290
2003,PH2,0,0,0,0
2002,DYS,0,0,0,0
2002,MPH,0,0,0,0
2002,PH2,0,0,0,0
2001,DYS,698,148,57862.04,11565
2001,MPH,106,24,7869.48,1770
2001,PH2,21,5,1639.5,400
