Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,EYSF,5623,600,730990,74740
2019,MPH,672,71,87360,8840
2019,PH2,144,15,18720,1880
2018,EYSF,5421,400,704730,52000
2018,MPH,637,47,82810,6110
2018,PH2,142,8,18460,1040
2017,EYSF,4867,399,632710,51870
2017,MPH,563,48,73190,6240
2017,PH2,124,10,16120,1300
2016,EYSF,4413,400,573690,52000
2016,MPH,496,47,64480,6110
2016,PH2,108,10,14040,1300
2015,EYSF,3520,400,444068.05,52000
2015,MPH,338,47,49112.29,6110
2015,PH2,82,10,10439.65,1300
2014,EYSF,0,0,0,0
2014,MPH,0,0,0,0
2014,PH2,0,0,0,0
2013,EYSF,0,0,0,0
2013,MPH,0,0,0,0
2013,PH2,0,0,0,0
2012,EYSF,0,0,0,0
2012,MPH,0,0,0,0
2012,PH2,0,0,0,0
2011,EYSF,0,0,0,0
2011,MPH,0,0,0,0
2011,PH2,0,0,0,0
2010,EYSF,0,0,0,0
2010,MPH,0,0,0,0
2010,PH2,0,0,0,0
2009,EYSF,0,0,0,0
2009,MPH,0,0,0,0
2009,PH2,0,0,0,0
2008,EYSF,0,0,0,0
2008,MPH,0,0,0,0
2008,PH2,0,0,0,0
2007,EYSF,0,0,0,0
2007,MPH,0,0,0,0
2007,PH2,0,0,0,0
2006,EYSF,0,0,0,0
2006,MPH,0,0,0,0
2006,PH2,0,0,0,0
2005,EYSF,0,0,0,0
2005,MPH,0,0,0,0
2005,PH2,0,0,0,0
2004,EYSF,0,0,0,0
2004,MPH,0,0,0,0
2004,PH2,0,0,0,0
2003,EYSF,0,0,0,0
2003,MPH,0,0,0,0
2003,PH2,0,0,0,0
2002,EYSF,0,0,0,0
2002,MPH,0,0,0,0
2002,PH2,0,0,0,0
2001,EYSF,0,0,0,0
2001,MPH,0,0,0,0
2001,PH2,0,0,0,0
