Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,GPF,100084,18995,6696911.33,1112699
2019,MPH,6897,1750,457271.35,104210
2019,PH2,1262,320,90503.43,20078
2018,GPF,92622,18947,6320107.96,1115289
2018,MPH,6544,1743,442589.39,104640
2018,PH2,1236,330,91662.27,20823
2017,GPF,80291,18136,5577431.09,1068590
2017,MPH,5804,1673,404898.48,100480
2017,PH2,1092,316,83521.12,20460
2016,GPF,74048,16934,5178410.84,1017527
2016,MPH,5380,1551,379757.12,95045
2016,PH2,966,280,73980.73,18528
2015,GPF,73025,16709,5352466.14,1024050
2015,MPH,5001,1533,369178.72,97330
2015,PH2,972,298,77646.8,20378
2014,GPF,59170,15000,20911966.16,1193487
2014,MPH,4288,1375,2404806.8,114350
2014,PH2,854,273,606047.78,24349
2013,GPF,72114,16194,28715657.63,1200000
2013,MPH,4991,1485,1083020.638,114130
2013,PH2,921,279,754345.4626,23571
2012,GPF,87778,16891,46619569.51,1248000
2012,MPH,5635,1515,3000211.188,117320
2012,PH2,974,280,881063.9789,23629
2011,GPF,76062,15329,32624938.46,898941
2011,MPH,4852,1431,318894.2944,86000
2011,PH2,887,271,58442.832,17922
2010,GPF,65136,13030,14821148.64,452450
2010,MPH,4084,1165,697121.3213,44256
2010,PH2,741,227,364397.3669,9371
2009,GPF,57533,10061,13966321.75,330516
2009,MPH,3702,1009,131884.6337,35308
2009,PH2,668,198,25239.0413,7638
2008,GPF,49309,8924,13502897.64,288647.4
2008,MPH,3297,926,564663.3107,31690
2008,PH2,575,178,320076.7027,6468
2007,GPF,44907,7713,8583055.07,227457
2007,MPH,3054,851,397159.35,26732
2007,PH2,563,187,19420.55,6124
2006,GPF,58811,10271,13384475.76,268595
2006,MPH,3812,1095,111104.17,30307
2006,PH2,699,220,22444.04,6573
2005,GPF,49329,9111,10358211.61,225898
2005,MPH,3307,978,590213.48,26742
2005,PH2,646,218,19635.45,6638
2004,GPF,39665,7711,14204474.81,167516
2004,MPH,2869,825,73227.88,19586
2004,PH2,596,192,17069.63,5110
2003,GPF,31791,6359,779142.86,132202.75
2003,MPH,2396,715,57826.9,16430.75
2003,PH2,493,171,13053,4446
2002,GPF,27590,5808,611019.02,115631
2002,MPH,2014,654,40719.78,14048
2002,PH2,475,169,10354.99,3889
2001,GPF,23636,4435,492005.66,79762.4
2001,MPH,1904,590,36585.69,9633
2001,PH2,448,154,9057.34,2720
