Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,KPF,3725,743,1174667.16,221840
2019,MPH,334,90,111307.61,28090
2019,PH2,91,20,30719.12,6510
2018,KPF,3364,701,1066168.8,205442
2018,MPH,311,80,105829.95,24000
2018,PH2,73,16,25779.8,5020
2017,KPF,3012,667,942335.23,198700
2017,MPH,281,76,92148.55,23850
2017,PH2,77,17,25794.56,5600
2016,KPF,2782,612,852911.46,171535
2016,MPH,288,71,93952.95,20945
2016,PH2,60,15,20609.49,4680
2015,KPF,2805,624,895812.65,178582.3
2015,MPH,266,73,87550.55,21670
2015,PH2,50,16,16927.66,5000
2014,KPF,3025,605,1094558.59,204620
2014,MPH,281,72,103716.7,25350
2014,PH2,64,15,24636.3,5550
2013,KPF,2627,564,897217.794,166300
2013,MPH,224,63,80223.55,19100
2013,PH2,41,14,15161.9,4410
2012,KPF,2766,538,6965288.149,156700
2012,MPH,242,60,3087552.9,17890
2012,PH2,39,13,3013822.6,4000
2011,KPF,2930,497,1007589.819,142500
2011,MPH,223,54,76381.672,16100
2011,PH2,51,12,17276.222,3760
2010,KPF,2120,436,475653.8786,96450
2010,MPH,188,50,41930.938,11250
2010,PH2,29,9,6828,2086
2009,KPF,2069,391,3200921.969,72408
2009,MPH,163,48,35137.15,9438
2009,PH2,26,13,6117.8,2620
2008,KPF,1875,425,2555711.044,77973
2008,MPH,158,54,34060.7,10808
2008,PH2,29,11,6871,2430
2007,KPF,1754,373,324114.44,63530
2007,MPH,152,45,32255.14,8600
2007,PH2,25,10,6106.3,2100
2006,KPF,1500,277,260643.04,44349
2006,MPH,147,39,28478.3,6930
2006,PH2,16,9,3505,1650
2005,KPF,1436,303,435886.8,48797
2005,MPH,79,34,13204.12,5636
2005,PH2,10,7,1884,1164
2004,KPF,1242,224,189788.44,33330
2004,MPH,82,33,14978.7,4875
2004,PH2,16,8,3174,1245
2003,KPF,1163,252,1017236.85,35973
2003,MPH,91,33,12860,4980
2003,PH2,12,7,2239.25,960
2002,KPF,697,208,99211.55,31230
2002,MPH,87,28,7591.58,4100
2002,PH2,0,0,0,0
2001,KPF,561,124,71386.47,18044
2001,MPH,75,18,4472.25,2170
2001,PH2,9,6,1238,700
