Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,LDRF,19896,2960,823566.35,110486
2019,MPH,863,175,34845.51,6990
2019,PH2,97,20,4033.57,834
2018,LDRF,17900,2937,746468.2,110333
2018,MPH,870,175,35067.66,6990
2018,PH2,91,19,3823.48,762
2017,LDRF,15935,3017,680142.03,109520
2017,MPH,758,183,30778.32,6940
2017,PH2,91,22,3891.96,878
2016,LDRF,14156,2872,602381.51,109050
2016,MPH,670,180,26835.96,6950
2016,PH2,79,22,3309.52,899
2015,LDRF,13170,2829,586272.72,109600
2015,MPH,588,176,24528.13,7000
2015,PH2,76,23,3309.19,1000
2014,LDRF,13030,2751,4356654.72,130750
2014,MPH,612,185,30477,8350
2014,PH2,71,21,3649.3,1114
2013,LDRF,11838,2497,3889041.766,120000
2013,MPH,602,175,30703.1745,7720
2013,PH2,78,23,4081.68,1100
2012,LDRF,11258,2472,8232947.028,120000
2012,MPH,534,155,527567.2562,7720
2012,PH2,59,17,3022.655,901
2011,LDRF,8524,2033,2065628.995,99920
2011,MPH,407,135,18716.042,6460
2011,PH2,48,16,2206.5,793
2010,LDRF,6213,1326,2273729.715,33560
2010,MPH,289,83,7328.181,2204
2010,PH2,30,10,751.2,274
2009,LDRF,4828,922,1266603.846,22180
2009,MPH,248,65,6706.224,1338
2009,PH2,28,8,771.029,176
2008,LDRF,3342,674,799176.377,16973.5
2008,MPH,154,35,3947.193,887
2008,PH2,21,6,734.65,164
2007,LDRF,2862,559,1927897.42,10196
2007,MPH,111,30,2924.81,595
2007,PH2,16,4,398.85,80
2006,LDRF,2619,413,655965.65,9330
2006,MPH,109,29,2779,751
2006,PH2,12,3,333.82,80
2005,LDRF,1987,331,1015391.34,7180
2005,MPH,95,25,2245.24,657
2005,PH2,14,4,388.57,123
2004,LDRF,1573,274,763690.11,5346
2004,MPH,79,20,1650.67,426
2004,PH2,14,4,335.69,100
2003,LDRF,1348,231,30941.76,4388
2003,MPH,47,18,968.17,404
2003,PH2,5,2,97.8,50
2002,LDRF,1263,241,27006.69,4292
2002,MPH,52,21,1039.36,408
2002,PH2,8,3,145.5,59
2001,LDRF,985,184,19443.76,3299
2001,MPH,37,18,566.36,243.5
2001,PH2,1,1,29,20
