Year,Type,Num of Apps,Num of Apps Approved,Funding Requested,Funding Approved
2019,YSF,100376,17966,2482007.21,420795
2019,MPH,6774,1800,168556.28,45000
2019,PH2,1160,308,29674.46,7834
2018,YSF,86042,17671,2115944.71,417644
2018,MPH,6054,1748,149058.16,43630
2018,PH2,1022,295,26094.38,7566
2017,YSF,78195,17523,1896062.57,400270
2017,MPH,5899,1749,142542.17,42160
2017,PH2,978,290,24439.13,7245
2016,YSF,70399,16112,1571153.89,311670
2016,MPH,5470,1630,121641.75,34090
2016,PH2,995,297,23040.76,6565
2015,YSF,65722,16135,1513519.51,319450
2015,MPH,5399,1733,124950.22,35350
2015,PH2,938,302,22598,6460
2014,YSF,65016,16421,22447291.88,398943
2014,MPH,5361,1728,2080683.96,43190
2014,PH2,859,280,24233.5,7318
2013,YSF,60970,15367,11214473.38,370000
2013,MPH,4965,1638,1106570.64,41030
2013,PH2,811,274,23039.6121,7171
2012,YSF,59786,14022,13773934.12,337500
2012,MPH,4753,1501,129918.995,37510
2012,PH2,777,255,22078.4,6648
2011,YSF,54091,13146,10728932.64,311710
2011,MPH,4247,1386,111133.6423,34640
2011,PH2,698,236,18979.735,6152
2010,YSF,36280,8350,5750076.973,164600
2010,MPH,2992,929,318786.1425,18580
2010,PH2,516,165,12555.755,3473
2009,YSF,28527,6079,6673906.365,120304
2009,MPH,2178,606,291126.1681,12176
2009,PH2,337,95,15286.192,3827
2008,YSF,21134,4757,6198769.714,93994.2
2008,MPH,1545,483,456838.6696,9664
2008,PH2,255,82,6604.74,1722
2007,YSF,16880,3336,2186024.29,61737
2007,MPH,1072,322,28013.97,6438
2007,PH2,169,56,4931.18,1115
2006,YSF,13330,2429,3102047.43,55549
2006,MPH,810,259,20608.04,5979
2006,PH2,127,42,3628.83,991
2005,YSF,10410,1934,2219202.07,44577.3
2005,MPH,589,199,114139.98,4320
2005,PH2,97,33,2720.85,771
2004,YSF,8059,1590,2557193.89,33140
2004,MPH,485,172,11073.8,3340
2004,PH2,89,36,2328.91,762
2003,YSF,5973,1269,139361.29,25130.75
2003,MPH,389,122,8229.41,2242.75
2003,PH2,64,21,1469.45,464
2002,YSF,4329,1064,90611.15,20323
2002,MPH,319,113,5686.06,1950
2002,PH2,74,25,1426.54,469
2001,YSF,3441,726,69434.77,12591
2001,MPH,256,94,4449.67,1224.5
2001,PH2,48,17,921.59,237.5
